nbr_de_places,espace_enfant,service_de_payement,accessebilite_mobilite_reduite,parking,numero_tel_resto,siret,id_resto
31,1,cheque,0,0,05 19 75 69 35,38699505288,0
79,0,espece,0,0,01 34 83 73 78,14827790207,1
91,1,cheque,1,0,+33 (0)3 22 11 64 16,40674291356,2
69,1,espece,0,0,+33 3 44 94 02 52,51134298974,3
89,1,CB,1,1,+33 (0)1 48 66 18 62,29450221692,4
83,0,CB,0,1,0221043440,29941627527,5
49,1,espece,0,0,0430700843,68812633831,6
45,0,cheque,1,0,+33 (0)3 80 37 23 92,27040400490,7
97,0,cheque,1,0,+33 (0)2 72 68 85 45,51972781890,8
65,0,CB,0,0,05 36 47 45 06,41580276357,9
20,1,cheque,0,1,+33 4 43 45 63 74,84300254739,10
30,0,espece,1,0,+33 (0)3 22 79 26 73,88216846181,11
32,1,CB,1,0,03 69 29 18 05,48852564717,12
48,0,cheque,0,1,02 32 90 22 73,54782942055,13
46,1,CB,1,1,+33 4 97 44 50 55,98647812874,14
60,1,cheque,0,1,02 18 36 58 15,26648961004,15
34,1,cheque,0,0,+33 (0)5 53 53 92 67,11518222122,16
60,0,cheque,0,1,+33 (0)3 79 91 90 69,99410211493,17
89,1,cheque,0,1,+33 (0)4 65 56 96 93,78951277698,18
59,1,cheque,1,0,+33 1 83 69 39 93,66977818027,19
53,0,espece,1,1,0353787927,33561977663,20
62,1,espece,1,1,+33 5 96 23 04 29,26666374940,21
66,0,CB,1,1,+33 (0)2 90 50 90 66,25720012225,22
38,0,espece,1,0,+33 2 62 25 24 54,50811954651,23
21,1,espece,0,0,+33 3 89 23 35 68,27152730882,24
26,1,espece,0,1,04 94 74 64 22,79676569204,25
34,0,CB,1,0,+33 (0)3 82 03 19 38,22458589849,26
39,1,CB,1,0,04 44 39 26 18,38599602897,27
98,1,CB,0,1,05 33 84 66 96,53155827185,28
87,1,cheque,1,1,03 23 70 63 11,15836759962,29
32,1,cheque,0,1,+33 (0)4 92 61 02 29,93009171007,30
24,0,CB,1,1,0365985107,87400900320,31
95,1,cheque,1,1,05 08 65 77 47,47921744630,32
94,0,cheque,1,1,03 66 10 94 76,84031233604,33
70,0,CB,0,1,0172213699,81283710148,34
22,0,cheque,1,0,+33 3 88 27 66 76,39213473650,35
36,1,espece,0,1,0233103136,86178127781,36
64,0,CB,1,0,+33 (0)3 90 06 21 82,41244857700,37
45,1,cheque,0,1,+33 (0)3 60 54 72 27,35789389923,38
90,0,cheque,0,1,+33 1 72 94 11 36,16687138648,39
21,1,espece,0,0,0143558444,26521804804,40
60,0,CB,0,1,05 55 07 71 23,88888018308,41
71,0,espece,1,0,+33 (0)5 31 13 14 27,77693748579,42
32,1,espece,1,1,+33 5 36 13 83 15,95333798034,43
74,1,espece,1,1,0563303179,62249651980,44
73,1,espece,0,0,03 39 02 27 98,61656271754,45
65,0,CB,1,1,01 53 07 48 15,50946210143,46
33,1,CB,0,1,0432027196,74072761747,47
98,0,espece,0,0,0357455829,38538341911,48
31,0,CB,1,1,05 53 29 48 22,62158833278,49
91,1,espece,0,0,0456520136,41452046469,50
32,1,CB,1,0,0221406737,66597242530,51
66,0,espece,0,1,0805086073,66304547663,52
50,1,cheque,0,1,0183027167,18394659312,53
60,1,cheque,1,1,0546739941,45807885424,54
57,1,cheque,0,1,+33 (0)4 80 70 07 99,26437778579,55
69,0,cheque,0,1,+33 (0)1 58 64 51 08,62099859961,56
80,1,cheque,0,0,0479746787,17059374608,57
28,1,CB,1,0,0546162486,65649630494,58
77,1,espece,0,1,+33 (0)4 70 37 61 70,82403359134,59
56,1,CB,1,1,+33 (0)3 90 34 75 45,33972859413,60
37,0,espece,1,1,0471872957,35113161649,61
61,1,cheque,0,0,+33 4 91 23 88 10,57852607768,62
48,0,CB,1,0,0534381760,16328520455,63
26,0,CB,0,1,0320852643,42356115037,64
47,0,CB,0,0,0423118089,19918244651,65
69,1,cheque,0,0,0556087430,60679709448,66
77,1,CB,0,1,+33 1 53 06 56 27,47035444418,67
47,0,cheque,1,1,03 22 34 01 08,59272611465,68
27,1,CB,0,1,0470769353,32374145444,69
86,0,cheque,1,0,+33 (0)1 43 73 41 31,81083601829,70
43,0,cheque,1,1,01 76 63 69 51,74283932873,71
30,0,cheque,1,1,+33 4 74 68 87 25,87337122063,72
90,1,cheque,1,1,0535034942,81932864577,73
43,0,espece,0,0,+33 (0)2 56 35 60 78,55045582637,74
70,1,espece,1,0,04 22 89 20 46,80312956510,75
95,1,CB,0,1,0358324697,76038342476,76
100,1,CB,1,0,+33 5 86 48 72 83,24298946664,77
35,0,cheque,1,0,+33 5 65 59 65 31,34972357360,78
87,0,espece,0,0,05 54 24 22 06,38808842990,79
33,1,CB,0,0,+33 4 90 49 44 36,42099424945,80
93,1,cheque,1,0,03 70 04 43 80,69087244727,81
53,1,cheque,1,0,0382221476,78038616040,82
100,1,espece,1,0,06 79 82 57 36,50975856632,83
71,1,cheque,1,1,+33 4 15 29 37 17,81376528547,84
47,1,espece,1,0,+33 (0)5 86 31 83 61,23430527867,85
37,0,espece,1,1,0145501853,84081010905,86
85,1,cheque,1,1,+33 2 56 51 29 95,22577926992,87
38,0,espece,1,1,+33 1 64 23 39 57,19706427294,88
20,1,espece,0,1,+33 3 80 20 90 22,31935801999,89
56,1,cheque,1,0,03 86 30 83 29,46956304879,90
55,0,CB,1,0,+33 1 49 23 46 34,54882058059,91
21,0,espece,1,1,0549323098,24007843282,92
27,0,cheque,1,0,+33 4 70 72 49 16,38365555701,93
76,1,espece,0,1,0371296741,67230075978,94
49,0,CB,0,0,04 75 62 63 03,90767508367,95
86,1,cheque,0,1,+33 3 39 15 63 73,54839422436,96
36,0,CB,1,0,01 47 49 14 50,94759121203,97
26,1,espece,0,1,05 64 07 08 85,60855982727,98
56,0,cheque,0,1,02 96 38 64 08,75974641363,99
34,1,espece,0,1,+33 (0)2 31 44 33 94,80769744577,100
68,0,espece,1,0,+33 4 81 63 53 57,98767332380,101
50,1,cheque,1,1,03 10 79 65 94,91639573890,102
64,0,espece,0,1,0388390998,99631707665,103
30,1,CB,1,1,0222230520,86941979588,104
96,1,cheque,1,1,02 76 24 61 93,29061704643,105
76,0,espece,1,0,03 39 07 91 53,99136022856,106
87,0,espece,1,1,+33 (0)1 72 14 38 46,80345187689,107
69,1,cheque,0,1,0258036562,10765429095,108
83,1,cheque,0,0,+33 4 56 75 39 82,62746521658,109
94,0,cheque,0,0,+33 3 24 10 51 02,95589928043,110
85,1,espece,1,1,0169683608,17465558138,111
90,1,cheque,0,0,+33 2 69 35 40 49,97561557766,112
87,0,espece,1,0,+33 (0)3 81 29 77 55,25452156353,113
34,1,espece,0,1,+33 5 64 79 30 21,85029209698,114
34,0,espece,1,1,04 89 89 10 87,40688868341,115
82,0,cheque,0,0,+33 1 78 37 47 88,19895878185,116
68,1,cheque,0,0,0463606243,47759424163,117
23,0,espece,1,1,0144950782,37083955203,118
35,1,cheque,1,0,+33 1 69 68 12 19,86915450498,119
55,0,CB,0,1,+33 4 91 32 43 00,90152038494,120
92,0,CB,1,0,0590698372,57350089674,121
53,0,cheque,0,1,0388119374,65203282380,122
54,1,espece,1,0,+33 (0)3 61 11 91 53,19457028639,123
93,0,CB,1,0,+33 (0)2 79 98 10 42,37752981772,124
61,0,CB,1,0,+33 1 55 41 28 95,62587641229,125
85,0,espece,0,0,+33 2 78 57 89 52,15228905285,126
81,0,espece,1,0,+33 (0)2 76 93 28 74,11420555701,127
75,1,cheque,1,1,+33 (0)1 55 95 65 61,44409528552,128
66,1,espece,0,0,+33 3 71 79 20 18,85242724208,129
21,1,CB,0,1,+33 5 61 86 57 68,10621322430,130
26,1,cheque,0,1,0285001145,99631727212,131
22,0,cheque,0,0,+33 (0)3 44 26 53 05,43778555304,132
92,0,CB,0,0,+33 2 72 47 21 62,28038433644,133
78,0,espece,1,1,+33 (0)5 49 19 33 68,44512199027,134
79,0,cheque,0,0,0546253605,65308974971,135
32,0,CB,1,0,+33 (0)1 42 93 74 46,69988783263,136
81,0,CB,0,1,+33 (0)4 99 37 64 69,40556984790,137
82,1,cheque,0,1,0179608403,71435115466,138
46,1,espece,1,1,+33 (0)1 44 96 30 29,82771259506,139
70,0,CB,0,1,04 69 54 11 85,41782497411,140
95,0,CB,1,1,0482156964,98753987610,141
97,0,CB,1,0,0411998855,19524355175,142
47,0,espece,1,0,0555990621,94883903235,143
44,1,cheque,1,0,03 89 20 57 69,26169950932,144
29,1,espece,1,0,0379742499,75570883067,145
21,1,cheque,0,0,+33 4 49 79 72 74,89336875578,146
99,0,espece,0,0,+33 3 26 27 56 32,72499873047,147
30,0,cheque,1,1,+33 (0)3 75 02 54 35,46100913034,148
62,0,espece,1,0,+33 (0)4 83 24 30 28,81594621063,149
76,0,cheque,0,1,+33 (0)5 33 65 92 79,89710721332,150
38,1,cheque,0,1,05 08 85 76 13,56657565795,151
49,0,espece,1,0,0130590993,56545372485,152
65,1,espece,0,1,01 44 50 96 45,95361574557,153
38,1,CB,0,0,+33 (0)5 24 95 87 33,67710347794,154
45,0,espece,0,0,0495520283,96781091591,155
