city,lat,lng,country,id_resto,code_postale
Saint-Étienne-de-Montluc,47.2764,-1.7803,France,0,66187
Bologna,44.4939,11.3428,Italy,1,86181
Casatenovo,45.6983,9.3117,Italy,2,30978
Gmund am Tegernsee,47.75,11.7333,Germany,3,26087
Montevarchi,43.5234,11.5679,Italy,4,27354
Fröndenberg,51.4719,7.7658,Germany,5,46715
Nieppe,50.7031,2.8389,France,6,71868
San Giustino,43.55,12.1833,Italy,7,59895
Sarroch,39.0658,9.0102,Italy,8,66849
Le Loroux-Bottereau,47.2381,-1.3492,France,9,91421
Hachenburg,50.6614,7.8203,Germany,10,72144
Cutro,39.0342,16.9819,Italy,11,72989
Caprarola,42.3275,12.2367,Italy,12,26484
Nocera Umbra,43.1167,12.7833,Italy,13,36569
Périgueux,45.1929,0.7217,France,14,37472
Kressbronn am Bodensee,47.5958,9.6,Germany,15,32912
Ajaccio,41.9267,8.7369,France,16,11801
Dieppe,49.92,1.08,France,17,32822
Weimar,50.9833,11.3167,Germany,18,8323
Eitorf,50.7697,7.4517,Germany,19,46770
Ansbach,49.3,10.5833,Germany,20,90533
Altenstadt,48.1667,10.1167,Germany,21,60681
Montgeron,48.7039,2.4605,France,22,48429
Neufchâteau,48.3556,5.6961,France,23,30709
Merzhausen,47.9664,7.8286,Germany,24,60751
Pallazzolo sull’Oglio,45.6,9.8833,Italy,25,18930
Boulay-Moselle,49.1833,6.4936,France,26,90402
Licata,37.1083,13.9469,Italy,27,76100
Umbertide,43.3056,12.3366,Italy,28,9241
Saint-Vallier,46.6419,4.3711,France,29,70112
Sainghin-en-Weppes,50.5625,2.9006,France,30,78891
Bogen,48.9167,12.6833,Germany,31,2292
Brühl,50.8333,6.9,Germany,32,46727
Déchy,50.3525,3.1283,France,33,27249
Polch,50.3011,7.3167,Germany,34,83847
Casal Velino,40.1833,15.1167,Italy,35,42903
Chemillé,47.2131,-0.7258,France,36,13473
Boscotrecase,40.7833,14.4667,Italy,37,90330
Chevreuse,48.7075,2.0383,France,38,61125
Bitche,49.0517,7.4253,France,39,35267
Nova Milanese,45.5833,9.2,Italy,40,68800
Langelsheim,51.9381,10.335,Germany,41,14778
Deruta,42.9833,12.4167,Italy,42,7177
Geseke,51.6497,8.5167,Germany,43,19137
Laon,49.5639,3.6244,France,44,69034
Lorgues,43.4933,6.3611,France,45,59708
Missaglia,45.7,9.3333,Italy,46,76890
Guînes,50.8678,1.8736,France,47,33126
Nandy,48.5842,2.5661,France,48,38244
Nancy,48.6936,6.1846,France,49,83210
Barano d’Ischia,40.7167,13.9167,Italy,50,22107
Renningen,48.7661,8.9347,Germany,51,69265
Cancale,48.6767,-1.8519,France,52,75696
Beaugency,47.7783,1.6317,France,53,70177
Hünxe,51.6417,6.7672,Germany,54,4759
Birkenwerder,52.6833,13.2833,Germany,55,84657
Paola,39.3667,16.0333,Italy,56,95523
Lattes,43.5678,3.9021,France,57,83146
Erchie,40.4333,17.7333,Italy,58,67024
Roubaix,50.6901,3.1817,France,59,65459
Bielefeld,52.0167,8.5333,Germany,60,79417
Barntrup,51.9935,9.1206,Germany,61,20773
Bagnolo in Piano,44.7667,10.6833,Italy,62,59408
Gallipoli,40.0556,17.9917,Italy,63,65127
San Vito al Tagliamento,45.9153,12.8556,Italy,64,31130
Plankstadt,49.3933,8.5942,Germany,65,20835
Ventimiglia,43.7903,7.6083,Italy,66,66726
Mola di Bari,41.0667,17.0833,Italy,67,46856
Montemarciano,43.6399,13.3104,Italy,68,47947
Seichamps,48.7158,6.2661,France,69,54264
Conflans-Sainte-Honorine,48.9992,2.0983,France,70,9315
Wildberg,48.6239,8.7472,Germany,71,21741
Triuggio,45.6667,9.2667,Italy,72,23240
Sarrians,44.0833,4.9711,France,73,47710
Recke,52.37,7.7189,Germany,74,42396
Heilbad Heiligenstadt,51.3775,10.1344,Germany,75,25983
Guilers,48.4256,-4.5581,France,76,51408
Jever,53.5744,7.9008,Germany,77,50718
Granville,48.8381,-1.5869,France,78,81758
Aubigny-sur-Nère,47.4886,2.4392,France,79,80209
Vauréal,49.03,2.0214,France,80,76188
Alès,44.1281,4.0817,France,81,7822
Oranienburg,52.7544,13.2369,Germany,82,22826
Minerbio,44.6175,11.4717,Italy,83,30609
Perl,49.4667,6.3667,Germany,84,2612
Langen,53.6116,8.6032,Germany,85,23208
Clermont-l’Hérault,43.6272,3.4322,France,86,19542
Bammental,49.3508,8.7758,Germany,87,65483
Stadtroda,50.85,11.7333,Germany,88,21501
Kaarst,51.2278,6.6273,Germany,89,67672
Châteauneuf-les-Martigues,43.3831,5.1642,France,90,94418
Marsberg,51.45,8.85,Germany,91,8254
Le Havre,49.49,0.1,France,92,60963
Saint-André-des-Eaux,47.3139,-2.3108,France,93,57605
Rogliano,39.1833,16.3167,Italy,94,15175
Wesel,51.6586,6.6178,Germany,95,20302
Ludwigshafen,49.4811,8.4353,Germany,96,16141
Erstein,48.4219,7.6611,France,97,43827
Ovelgönne,53.35,8.4,Germany,98,80678
Barsbüttel,53.5667,10.1667,Germany,99,50449
San Giovanni in Marignano,43.9393,12.7137,Italy,100,35993
Sèvres,48.8239,2.2117,France,101,58152
Montegrotto Terme,45.3333,11.7833,Italy,102,5608
Libourne,44.92,-0.24,France,103,78105
Paderborn,51.7167,8.7667,Germany,104,32626
Moosinning,48.2833,11.85,Germany,105,1609
Frouzins,43.5161,1.3247,France,106,37063
Le Coteau,46.0272,4.0867,France,107,77811
Fossò,45.3833,12.05,Italy,108,40672
Wächtersbach,50.2667,9.3,Germany,109,39955
Santa Teresa di Riva,37.94,15.3625,Italy,110,9892
Wrestedt,52.9,10.5833,Germany,111,26272
Zibido San Giacomo,45.3667,9.1167,Italy,112,80147
Le Cendre,45.7225,3.1872,France,113,55620
Fermo,43.1604,13.7181,Italy,114,62561
Montivilliers,49.5461,0.1881,France,115,22800
Fleurance,43.8494,0.6636,France,116,37674
Baunatal,51.2589,9.4183,Germany,117,2338
La Riche,47.3892,0.6606,France,118,47167
Babenhausen,49.9624,8.9533,Germany,119,21583
Calusco d’Adda,45.6833,9.4833,Italy,120,62632
Eiterfeld,50.7667,9.8,Germany,121,81666
Wiesbaden,50.0825,8.24,Germany,122,49704
Villadossola,46.0736,8.2669,Italy,123,82598
Oberlungwitz,50.7833,12.7167,Germany,124,34269
Mazan,44.0567,5.1281,France,125,24763
Reichelsheim,50.3569,8.8725,Germany,126,11486
Cochem,50.1469,7.1667,Germany,127,63970
Boulazac,45.1819,0.7631,France,128,97152
Vairano Patenora,41.3333,14.1333,Italy,129,45663
Brioude,45.2942,3.3842,France,130,96956
Lohne,52.6667,8.2386,Germany,131,35336
Hannoversch Münden,51.4167,9.65,Germany,132,44330
Ceglie Messapico,40.65,17.5167,Italy,133,5761
Bindlach,49.9811,11.6114,Germany,134,57697
Montalcino,43.0592,11.4892,Italy,135,14379
Kassel,51.3158,9.4979,Germany,136,64305
Bruckberg,48.5333,12.0,Germany,137,39292
Charbonnières-les-Bains,45.7806,4.7464,France,138,29333
Rodgau,50.0256,8.8841,Germany,139,81576
Fahrenzhausen,48.35,11.55,Germany,140,76963
Cattolica,43.9584,12.7386,Italy,141,33227
Fleury-Mérogis,48.6294,2.3614,France,142,89513
Schwaigern,49.1333,9.05,Germany,143,87212
Saint-Alban-Leysse,45.58,5.9581,France,144,82267
Vöhringen,48.2833,10.0833,Germany,145,37027
Gangkofen,48.4369,12.5633,Germany,146,33555
Poppi,43.7358,11.7617,Italy,147,15562
Ciampino,41.8,12.6,Italy,148,44704
Teterow,53.7667,12.5667,Germany,149,47002
Rohrbach,48.6167,11.5667,Germany,150,71061
Haldensleben,52.2833,11.4167,Germany,151,28020
Pignola,40.5667,15.7833,Italy,152,74630
Pfastatt,47.7689,7.3017,France,153,56365
La Montagne,47.19,-1.6839,France,154,96790
Saint-Denis-en-Val,47.8772,1.96,France,155,29062
Naila,50.3299,11.7083,Germany,156,46742
Coulommiers,48.8156,3.0836,France,157,85371
Trégueux,48.4906,-2.7381,France,158,46389
Visselhövede,52.9845,9.5817,Germany,159,92327
Échirolles,45.1436,5.7183,France,160,66129
Neuhof,50.4333,9.6167,Germany,161,29790
Bautzen,51.1814,14.4239,Germany,162,99617
Tuglie,40.0735,18.0987,Italy,163,9160
Montichiari,45.4161,10.3917,Italy,164,19217
Offenburg,48.4708,7.9408,Germany,165,60912
Capena,42.1403,12.5403,Italy,166,45300
Hellemmes-Lille,50.6283,3.11,France,167,38154
Kaufering,48.0833,10.8833,Germany,168,54657
Bétheny,49.2847,4.0569,France,169,86138
San Gimignano,43.4677,11.0432,Italy,170,11185
Ugento,39.9333,18.1667,Italy,171,74318
Pogliano Milanese,45.5333,9.0,Italy,172,75395
Garéoult,43.3283,6.0461,France,173,55306
Fayence,43.6233,6.6939,France,174,64303
Bockhorn,53.4,8.0167,Germany,175,59168
Kottmarsdorf,51.0108,14.6558,Germany,176,7548
Sinsheim,49.25,8.8833,Germany,177,31513
Saint-Maximin-la-Sainte-Baume,43.4533,5.8619,France,178,68652
Cernay,47.8067,7.1758,France,179,6085
Eppelheim,49.4011,8.6297,Germany,180,22946
Pozzuolo del Friuli,45.9681,13.1969,Italy,181,83652
Jahnsdorf,50.7456,12.8544,Germany,182,47112
Viernheim,49.538,8.5792,Germany,183,2838
Borgo a Mozzano,43.9797,10.5467,Italy,184,31953
Laterza,40.6333,16.8,Italy,185,89682
Cavallino,40.3102,18.2022,Italy,186,73669
Quartu Sant’Elena,39.2291,9.2649,Italy,187,23654
Mühlhausen,49.2475,8.7239,Germany,188,38193
Rabastens,43.8222,1.7253,France,189,45959
Preußisch Oldendorf,52.2833,8.5,Germany,190,34517
Noicattaro,41.0333,16.9833,Italy,191,11668
Ebersdorf bei Coburg,50.22,11.0706,Germany,192,64506
Ronciglione,42.2894,12.2147,Italy,193,85752
Maisons-Laffitte,48.9469,2.1456,France,194,43304
Maratea,39.9928,15.7167,Italy,195,6866
Decize,46.8292,3.4614,France,196,37399
Pfeffenhausen,48.6667,11.9667,Germany,197,51229
Saerbeck,52.175,7.6333,Germany,198,32774
Terzigno,40.8,14.5,Italy,199,35877
Pamiers,43.1164,1.6108,France,200,65681
Sovicille,43.2833,11.2333,Italy,201,55003
Saint-Claude,46.3872,5.8633,France,202,42606
Rosenfeld,48.2864,8.7242,Germany,203,74626
Cetraro,39.5,15.95,Italy,204,76810
Francheville,45.7364,4.7636,France,205,56933
Ennigerloh,51.8367,8.0256,Germany,206,17323
Lennestadt,51.1236,8.0681,Germany,207,26148
Laubach,50.5426,8.9891,Germany,208,91648
Birkenfeld,49.65,7.1833,Germany,209,45553
Épernay,49.0403,3.96,France,210,21216
Wertingen,48.5333,10.6667,Germany,211,34600
Meldorf,54.0833,9.0667,Germany,212,21437
Le Bouscat,44.8651,-0.5996,France,213,41735
Landsberg,48.0528,10.8689,Germany,214,57109
Westhausen,48.8839,10.1864,Germany,215,92465
Casciana Terme,43.5689,10.5936,Italy,216,46000
Saint-Laurent-de-la-Salanque,42.7736,2.9908,France,217,8381
Diedorf,48.35,10.7667,Germany,218,12858
Montebelluna,45.7753,12.0389,Italy,219,73410
Kolbermoor,47.85,12.0667,Germany,220,49776
Nortorf,54.1667,9.8667,Germany,221,79729
Eisenach,50.9747,10.3244,Germany,222,12917
Springe,52.2167,9.55,Germany,223,64974
Moglia,44.9333,10.9167,Italy,224,72516
Saint-Jean-Bonnefonds,45.4511,4.4464,France,225,2106
Otterndorf,53.8081,8.8997,Germany,226,45483
Simmern,49.9833,7.5167,Germany,227,4081
Montefiascone,42.5333,12.0333,Italy,228,43930
Schenefeld,53.6028,9.8233,Germany,229,79374
Antibes,43.5808,7.1239,France,230,83609
Firminy,45.3881,4.2872,France,231,17054
Chambéry,45.57,5.9118,France,232,16500
Ravenna,44.4161,12.2017,Italy,233,36255
Estenfeld,49.8281,10.0075,Germany,234,8664
Camposano,40.95,14.5333,Italy,235,22289
Usingen,50.334,8.5372,Germany,236,58498
Sala Baganza,44.7167,10.2333,Italy,237,12545
Bad Dürrheim,48.0167,8.5333,Germany,238,57256
Borgosesia,45.7169,8.2764,Italy,239,16588
Graulhet,43.7608,1.9886,France,240,40177
Clausthal-Zellerfeld,51.805,10.3356,Germany,241,43259
Meschede,51.3503,8.2836,Germany,242,17003
Melilli,37.1833,15.1167,Italy,243,67467
Drolshagen,51.0333,7.7667,Germany,244,90441
Mansfeld,51.5942,11.4547,Germany,245,41986
Falkensee,52.5583,13.0917,Germany,246,4194
Valence,44.9333,4.8917,France,247,43437
Rivolta d’Adda,45.4667,9.5167,Italy,248,22626
Ermont,48.9922,2.2603,France,249,88461
Moncalieri,45.0,7.6833,Italy,250,26317
